"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:45:41:518 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"7","50","0.05","1","34","1580.55","818.9329583086483","761.6170416913518","0","0"
"8","50","0.05","1","24","1045.9","520.8416318975142","525.0583681024856","0","0"
"5","50","0","1","45","2078","1026.8480599701224","1051.151940029878","0","0"
"2","50","0","1","43","1987.0000000000005","960.4436156665255","1026.556384333474","0","0"
"6","50","0.05","1","50","2026.35","1060.9355565044682","965.4144434955316","0","0"
"1","50","0","1","31","1190.9999999999998","560.0160338158723","630.9839661841279","0","0"
"4","50","0","1","36","1838.9999999999993","950.732483452096","888.2675165479043","0","0"
"7","50","0.05","1","35","1629.6999999999991","841.75114012683","787.9488598731699","0","0"
"5","50","0","1","46","2088.0000000000005","1026.8480599701224","1061.1519400298778","0","0"
"2","50","0","1","44","2115","1035.625433848344","1079.3745661516562","0","0"
"6","50","0.05","1","51","2035.4000000000005","1060.9355565044684","974.4644434955314","0","0"
"3","50","0","1","35","1352.0000000000002","652.0749327398943","699.9250672601056","0","0"
"7","50","0.05","1","36","1675.7499999999998","864.5693219450119","811.1806780549881","0","0"
"8","50","0.05","1","25","1054.1","521.7916318975142","532.3083681024857","0","0"
"5","50","0","1","47","2215.000000000001","1098.7095318315944","1116.2904681684058","0","0"
"2","50","0","1","45","2243","1105.1968624197727","1137.8031375802275","0","0"
"6","50","0.05","1","52","2042.9000000000005","1060.9355565044684","981.9644434955317","0","0"
"4","50","0","1","37","1924.9999999999993","1002.9063964955739","922.0936035044259","0","0"
"3","50","0","1","36","1445.0000000000007","704.8396386222474","740.1603613777529","0","0"
"8","50","0.05","1","26","1062.1499999999999","522.7916318975142","539.3583681024858","0","0"
"2","50","0","1","46","2292.9999999999986","1127.0150442379545","1165.9849557620457","0","0"
"6","50","0.05","1","53","2170.2499999999995","1129.1277761841022","1041.1222238158978","0","0"
"1","50","0","1","32","1201.9999999999998","560.0160338158723","641.9839661841278","0","0"
"7","50","0.05","1","37","1805.8000000000004","940.0956377344858","865.7043622655143","0","0"
"3","50","0","1","37","1455.0000000000005","704.8396386222474","750.1603613777528","0","0"
"5","50","0","1","48","2229.0000000000005","1098.7095318315942","1130.2904681684058","0","0"
"6","50","0.05","1","54","2218.2999999999997","1157.699204755531","1060.600795244469","0","0"
"2","50","0","1","47","2382","1176.0150442379547","1205.9849557620457","0","0"
"8","50","0.05","1","27","1068.2500000000002","523.7916318975141","544.4583681024858","0","0"
"3","50","0","1","38","1547","757.8396386222472","789.1603613777526","0","0"
"7","50","0.05","1","38","1853.9500000000003","963.9527805916283","889.9972194083716","0","0"
