"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"3","1","50","0","0","0","1","28","706.0000000000003","2","20","28"
"8","1","50","0.05","0","0","1","31","1416","3","23","24"
"5","1","50","0","0","0","1","40","1935.9999999999993","2","24","24"
"2","1","50","0","0","0","1","33","1648.999999999999","5","28","17"
"8","1","50","0.05","0","0","1","32","1419.0000000000002","3","24","23"
"5","1","50","0","0","0","1","41","1978.0000000000002","2","24","24"
"3","1","50","0","0","0","1","29","748.0000000000005","2","20","28"
"6","1","50","0.05","0","0","1","32","1487.0000000000007","3","16","31"
"2","1","50","0","0","0","1","34","1694.0000000000007","5","28","17"
"8","1","50","0.05","0","0","1","33","1541.0000000000005","2","24","24"
"7","1","50","0.05","0","0","1","39","1946.0000000000005","8","17","25"
"5","1","50","0","0","0","1","42","2060","2","24","24"
"4","1","50","0","0","0","1","31","1456.0000000000005","0","33","17"
"6","1","50","0.05","0","0","1","33","1488.000000000001","1","18","31"
"8","1","50","0.05","0","0","1","34","1621.999999999999","1","23","26"
"2","1","50","0","0","0","1","35","1738.9999999999995","5","28","17"
"7","1","50","0.05","0","0","1","40","1953.0000000000005","7","16","27"
"3","1","50","0","0","0","1","30","790.0000000000001","2","20","28"
"1","1","50","0","0","0","1","23","1123.0000000000002","3","18","29"
"5","1","50","0","0","0","1","43","2101.9999999999995","2","24","24"
"4","1","50","0","0","0","1","32","1495.9999999999998","0","31","19"
"7","1","50","0.05","0","0","1","41","2000","7","19","24"
"6","1","50","0.05","0","0","1","34","1490.000000000001","2","17","31"
"3","1","50","0","0","0","1","31","911.9999999999998","2","20","28"
"2","1","50","0","0","0","1","36","1743.9999999999995","5","28","17"
"5","1","50","0","0","0","1","44","2104","2","24","24"
"1","1","50","0","0","0","1","24","1205.9999999999998","3","18","29"
"8","1","50","0.05","0","0","1","35","1626","4","22","24"
"7","1","50","0.05","0","0","1","42","2128","8","17","25"
"4","1","50","0","0","0","1","33","1536.0000000000005","0","33","17"
"6","1","50","0.05","0","0","1","35","1532.000000000001","2","17","31"
"1","1","50","0","0","0","1","25","1248.9999999999995","3","18","29"
