"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/01/2018 08:04:47:073 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"1","50","0","1","36","1565.9999999999998","2","28","20"
"5","50","0","1","52","2443.999999999999","2","29","19"
"3","50","0","1","62","3295.0000000000005","2","19","29"
"2","50","0","1","73","3013.999999999998","1","22","27"
"7","50","0.05","1","49","2054.9500000000003","1","24","25"
"8","50","0.05","1","58","2183.7500000000005","1","23","26"
"1","50","0","1","37","1688.0000000000005","2","27","21"
"3","50","0","1","63","3297","2","18","30"
"2","50","0","1","74","3135","1","22","27"
"4","50","0","1","48","2059","8","21","21"
"7","50","0.05","1","50","2055.95","1","24","25"
"6","50","0.05","1","61","2589.350000000001","3","23","24"
"8","50","0.05","1","59","2264.7500000000005","1","23","26"
"5","50","0","1","53","2485.9999999999995","2","29","19"
"3","50","0","1","64","3339.0000000000014","2","19","29"
"2","50","0","1","75","3175.999999999999","1","22","27"
"4","50","0","1","49","2064.9999999999995","6","24","20"
"7","50","0.05","1","51","2096.949999999998","1","24","25"
"8","50","0.05","1","60","2345.750000000001","1","23","26"
"6","50","0.05","1","62","2592.350000000001","3","23","24"
"1","50","0","1","38","1770.0000000000002","2","28","20"
"2","50","0","1","76","3176.999999999999","1","22","27"
"8","50","0.05","1","61","2386.750000000001","1","23","26"
"7","50","0.05","1","52","2137.949999999999","1","24","25"
"5","50","0","1","54","2528.0000000000014","2","29","19"
"3","50","0","1","65","3421.0000000000005","2","18","30"
"8","50","0.05","1","62","2387.7500000000014","1","23","26"
"2","50","0","1","77","3217.9999999999995","1","22","27"
"1","50","0","1","39","1771.9999999999995","2","27","21"
"7","50","0.05","1","53","2178.95","1","24","25"
"4","50","0","1","50","2112","7","20","23"
"8","50","0.05","1","63","2388.7500000000014","1","23","26"
"5","50","0","1","55","2569.999999999999","2","29","19"
"6","50","0.05","1","63","2595.3500000000004","3","23","24"
"2","50","0","1","78","3298.9999999999995","1","22","27"
"8","50","0.05","1","64","2429.750000000001","1","23","26"
"6","50","0.05","1","64","2598.3500000000004","3","23","24"
"7","50","0.05","1","54","2179.9500000000003","1","24","25"
"5","50","0","1","56","2571.9999999999995","2","29","19"
"4","50","0","1","51","2159.999999999999","8","21","21"
"2","50","0","1","79","3340.0000000000005","1","22","27"
"8","50","0.05","1","65","2550.750000000001","1","23","26"
"6","50","0.05","1","65","2681.349999999999","3","23","24"
"3","50","0","1","66","3503.000000000001","2","19","29"
"5","50","0","1","57","2694.000000000001","2","29","19"
"1","50","0","1","40","1813.9999999999982","2","28","20"
"7","50","0.05","1","55","2180.95","1","24","25"
"8","50","0.05","1","66","2591.750000000001","1","23","26"
"2","50","0","1","80","3380.9999999999977","1","22","27"
"6","50","0.05","1","66","2764.3500000000004","3","23","24"
"5","50","0","1","58","2696.0000000000014","2","29","19"
"4","50","0","1","52","2165.999999999999","6","24","20"
"3","50","0","1","67","3505.000000000001","2","18","30"
"7","50","0.05","1","56","2181.9499999999994","1","24","25"
"2","50","0","1","81","3422","1","22","27"
"8","50","0.05","1","67","2712.7500000000023","1","23","26"
"6","50","0.05","1","67","2807.350000000001","3","23","24"
"3","50","0","1","68","3587","2","19","29"
"1","50","0","1","41","1855.999999999999","2","27","21"
"7","50","0.05","1","57","2222.949999999999","1","24","25"
"5","50","0","1","59","2778.000000000001","2","29","19"
"8","50","0.05","1","68","2753.750000000002","1","23","26"
