"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:30:23:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"3","50","0","0.5","12","921","519.7929292929293","401.2070707070708"
"2","50","0","0.5","22","1520","746.7919466154759","773.2080533845241"
"7","50","0.05","0.5","47","3087.800000000001","1471.4548640901576","1616.3451359098412"
"6","50","0.05","0.5","47","2731.099999999999","846.7815616959579","1884.3184383040414"
"1","50","0","0.5","35","1896.9999999999995","902.0341732341733","994.9658267658267"
"8","50","0.05","0.5","23","1799.45","732.7535242535242","1066.696475746476"
"4","50","0","0.5","55","3635.000000000001","1547.8529765727908","2087.147023427209"
"3","50","0","0.5","13","943.0000000000001","535.7929292929293","407.2070707070708"
"3","50","0","0.5","14","1005.0000000000001","574.1262626262627","430.8737373737374"
"5","50","0","0.5","39","1932","573.238844402931","1358.7611555970689"
"7","50","0.05","0.5","48","3147.9","1488.0191498044442","1659.8808501955561"
"8","50","0.05","0.5","24","1818.5500000000002","742.6035242535243","1075.9464757464757"
"1","50","0","0.5","36","1915.9999999999995","913.0341732341732","1002.9658267658268"
"4","50","0","0.5","56","3702.999999999999","1573.1863099061243","2129.813690093876"
"2","50","0","0.5","23","1541","758.791946615476","782.2080533845239"
"3","50","0","0.5","15","1023","589.1262626262626","433.8737373737374"
"8","50","0.05","0.5","25","1907.45","784.4035242535242","1123.0464757464756"
"1","50","0","0.5","37","1932.999999999999","921.0341732341734","1011.9658267658266"
"6","50","0.05","0.5","48","2757.399999999999","863.031561695958","1894.3684383040415"
"4","50","0","0.5","57","3728.999999999999","1591.1863099061238","2137.8136900938757"
"8","50","0.05","0.5","26","1974.0499999999995","825.4035242535243","1148.646475746476"
"3","50","0","0.5","16","1039.0000000000002","601.1262626262627","437.87373737373747"
"1","50","0","0.5","38","1941.9999999999993","925.0341732341731","1016.9658267658268"
"5","50","0","0.5","40","1989.9999999999998","593.6674158315025","1396.3325841684973"
"4","50","0","0.5","58","3790.9999999999995","1618.1863099061243","2172.8136900938757"
"8","50","0.05","0.5","27","2085.65","855.592413142413","1230.057586857587"
"3","50","0","0.5","17","1131","662.433954933955","468.56604506604504"
"2","50","0","0.5","24","1593.9999999999998","786.7919466154761","807.208053384524"
"1","50","0","0.5","39","1989.9999999999998","953.7484589484591","1036.2515410515412"
"6","50","0.05","0.5","49","2781.399999999998","880.0315616959581","1901.3684383040422"
"4","50","0","0.5","59","3854.9999999999995","1641.0954008152153","2213.904599184785"
"8","50","0.05","0.5","28","2149.5499999999997","886.6501054501052","1262.8998945498945"
"2","50","0","0.5","25","1655.9999999999998","807.4586132821427","848.5413867178573"
"5","50","0","0.5","41","2042","603.1674158315026","1438.8325841684973"
"1","50","0","0.5","40","2048.9999999999995","963.7484589484588","1085.251541051541"
"3","50","0","0.5","18","1197","717.1612276612277","479.83877233877234"
"8","50","0.05","0.5","29","2300.5","934.016772116772","1366.4832278832278"
"7","50","0.05","0.5","49","3204.6999999999994","1501.263594248888","1703.4364057511116"
"6","50","0.05","0.5","50","2883.1499999999996","901.0854078498041","1982.0645921501955"
"2","50","0","0.5","26","1680","821.4586132821426","858.5413867178573"
"1","50","0","0.5","41","2070.9999999999995","973.7484589484587","1097.2515410515412"
"8","50","0.05","0.5","30","2367.2999999999997","957.7667721167721","1409.533227883228"
"7","50","0.05","0.5","50","3256.850000000001","1514.827879963174","1742.0221200368258"
"4","50","0","0.5","60","3954","1704.4287341485483","2249.5712658514512"
"2","50","0","0.5","27","1693","830.4586132821427","862.5413867178573"
"3","50","0","0.5","19","1231","746.1612276612277","484.83877233877234"
"8","50","0.05","0.5","31","2392","975.4667721167721","1416.5332278832286"
"5","50","0","0.5","42","2057.9999999999995","610.1674158315025","1447.8325841684973"
"1","50","0","0.5","42","2084.9999999999995","982.7484589484591","1102.2515410515412"
"2","50","0","0.5","28","1749.9999999999993","847.4586132821426","902.5413867178572"
"8","50","0.05","0.5","32","2443.4999999999995","1000.5834387834386","1442.9165612165614"
"3","50","0","0.5","20","1343.0000000000002","812.1612276612277","530.8387723387723"
"1","50","0","0.5","43","2099.999999999999","990.7484589484588","1109.2515410515412"
"5","50","0","0.5","43","2110.0000000000005","621.3212619853488","1488.6787380146513"
"4","50","0","0.5","61","4024.999999999999","1730.2858770056914","2294.7141229943086"
"2","50","0","0.5","29","1765","857.4586132821427","907.5413867178574"
"8","50","0.05","0.5","33","2506.15","1016.8198024198023","1489.3301975801976"
"6","50","0.05","0.5","51","2941.5499999999997","920.9431001574964","2020.6068998425033"
"1","50","0","0.5","44","2114","993.748458948459","1120.251541051541"
"5","50","0","0.5","44","2126","626.3212619853488","1499.6787380146511"
"7","50","0.05","0.5","51","3274.9000000000005","1521.6778799631738","1753.222120036826"
"4","50","0","0.5","62","4096.999999999998","1760.285877005691","2336.7141229943086"
"3","50","0","0.5","21","1368","833.1612276612278","534.8387723387724"
"8","50","0.05","0.5","34","2559.0499999999993","1031.7467254967255","1527.3032745032745"
"3","50","0","0.5","22","1392.0000000000002","850.1612276612278","541.8387723387723"
"5","50","0","0.5","45","2223.9999999999995","675.5386532896965","1548.4613467103034"
"1","50","0","0.5","45","2160.9999999999995","1005.3198875198875","1155.6801124801125"
"6","50","0.05","0.5","52","2962","930.6431001574965","2031.3568998425035"
"8","50","0.05","0.5","35","2610.149999999999","1046.1133921633923","1564.0366078366085"
"3","50","0","0.5","23","1455.9999999999995","899.6612276612278","556.3387723387724"
"5","50","0","0.5","46","2245.9999999999995","690.5386532896966","1555.4613467103031"
"2","50","0","0.5","30","1854","919.6014704249997","934.3985295750002"
"1","50","0","0.5","46","2295","1082.3939615939614","1212.6060384060381"
