"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/07/2018 00:39:06:388 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"7","50","0.05","1","43","3184.7500000000023","3184.7500000000023","0","0","0"
"3","50","0","1","36","2568","2568","0","0","0"
"8","50","0.05","1","48","3137.8000000000015","3137.8000000000015","0","0","0"
"4","50","0","1","39","2955","2955","0","0","0"
"2","50","0","1","36","2971","2971","0","0","0"
"7","50","0.05","1","44","3308.1500000000015","3308.1500000000015","0","0","0"
"5","50","0","1","46","3889.0000000000005","3889.0000000000005","0","0","0"
"6","50","0.05","1","38","3496.5500000000025","3496.5500000000025","0","0","0"
"1","50","0","1","24","1912","1912","0","0","0"
"3","50","0","1","37","2616.0000000000005","2616.0000000000005","0","0","0"
"2","50","0","1","37","3100","3100","0","0","0"
"7","50","0.05","1","45","3395.7500000000014","3395.7500000000014","0","0","0"
"5","50","0","1","47","3937","3937","0","0","0"
"6","50","0.05","1","39","3625.500000000002","3625.500000000002","0","0","0"
"4","50","0","1","40","3004","3004","0","0","0"
"3","50","0","1","38","2705","2705","0","0","0"
"1","50","0","1","25","2040","2040","0","0","0"
"7","50","0.05","1","46","3523.5500000000015","3523.5500000000015","0","0","0"
"2","50","0","1","38","3149.0000000000005","3149.0000000000005","0","0","0"
"4","50","0","1","41","3170","3170","0","0","0"
"6","50","0.05","1","40","3712.300000000001","3712.300000000001","0","0","0"
"3","50","0","1","39","2793","2793","0","0","0"
"8","50","0.05","1","49","3223.5500000000015","3223.5500000000015","0","0","0"
"1","50","0","1","26","2129.0000000000005","2129.0000000000005","0","0","0"
"2","50","0","1","39","3236.0000000000005","3236.0000000000005","0","0","0"
"7","50","0.05","1","47","3650.3000000000015","3650.3000000000015","0","0","0"
"6","50","0.05","1","41","3801.100000000001","3801.100000000001","0","0","0"
"3","50","0","1","40","2842","2842","0","0","0"
"5","50","0","1","48","4026.0000000000005","4026.0000000000005","0","0","0"
"1","50","0","1","27","2216","2216","0","0","0"
"2","50","0","1","40","3283.0000000000005","3283.0000000000005","0","0","0"
"7","50","0.05","1","48","3777.0000000000014","3777.0000000000014","0","0","0"
