"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"8","50","0","0","44","2001.0000000000002","9","24","17","162.4"
"7","50","0","0","39","2411","2","47","1","167.1851851851852"
"4","50","0","0","22","1158","14","25","11","190.74814814814815"
"5","50","0","0","38","1397.0000000000002","4","36","10","231.57777777777778"
"3","50","0","0","31","1144","0","49","1","235.82222222222222"
"6","50","0","0","41","1692.9999999999998","0","4","46","195.8740740740741"
"2","50","0","0","48","2010.0000000000002","14","7","29","143.79259259259257"
"5","50","0","0","39","1408","11","13","26","230.60000000000002"
"4","50","0","0","23","1199.9999999999998","2","6","42","205.94814814814814"
"2","50","0","0","49","2013.9999999999998","4","11","35","106.54074074074076"
"3","50","0","0","32","1145.9999999999998","2","24","24","235.8222222222222"
"8","50","0","0","45","2058","17","11","22","162.4"
"1","50","0","0","14","676.9999999999998","12","17","21","150.9925925925926"
"5","50","0","0","40","1428.9999999999995","21","7","22","230.60000000000002"
"6","50","0","0","42","1743","10","6","34","196.57777777777778"
"7","50","0","0","40","2549.0000000000005","18","18","14","162.0962962962963"
"3","50","0","0","33","1234.0000000000007","8","15","27","236.1703703703704"
"4","50","0","0","24","1264","24","20","6","215.85925925925926"
"5","50","0","0","41","1430.9999999999998","2","47","1","228.20740740740743"
"2","50","0","0","50","2019.9999999999998","6","29","15","105.75555555555555"
"7","50","0","0","41","2606","17","23","10","152.76296296296297"
"6","50","0","0","43","1831.9999999999998","9","38","3","196.57777777777778"
"3","50","0","0","34","1342.0000000000002","28","17","5","238.7851851851852"
"1","50","0","0","15","757.0000000000001","0","48","2","171.05925925925928"
"5","50","0","0","42","1430.9999999999998","0","3","47","224.86666666666667"
"2","50","0","0","51","2027.9999999999998","8","23","19","104.91111111111111"
"4","50","0","0","25","1266","2","9","39","202.82222222222222"
"7","50","0","0","42","2689.999999999999","4","6","40","172.98518518518517"
"6","50","0","0","44","1851.9999999999998","20","19","11","199.6"
"5","50","0","0","43","1554.9999999999998","4","36","10","224.86666666666667"
"1","50","0","0","16","757.0000000000003","0","5","45","174.01481481481483"
